,position,streams,date,url,track_name,artist,region
18290,41,18636,2020-01-01,https://open.spotify.com/track/27NaNvlmvOHqTF0VPjuRSD,Lie,Lukas Graham,dk
18291,42,18322,2020-01-01,https://open.spotify.com/track/53Z8vzEI2bbqpsSZ8dFSOt,Holdet (feat. NODE),Jamaika,dk
18292,43,17839,2020-01-01,https://open.spotify.com/track/4HjkaUTOYnOI28nMf3qxqN,La Varrio,Jamaika,dk
18293,44,17716,2020-01-01,https://open.spotify.com/track/5pktQTAcKamiILPjUZbCLs,Kawasaki,Jamaika,dk
18294,45,17657,2020-01-01,https://open.spotify.com/track/1hwYGaUz6V4odyt0u0QlKf,En Sang (feat. Gucci Mane),Emil Stabil,dk
18295,46,17499,2020-01-01,https://open.spotify.com/track/13YRW5WzNufYn7OmLutScz,Bedste ven,Benny Jamz,dk
18296,47,17412,2020-01-01,https://open.spotify.com/track/38PH0BX4W8T15k3ITRMmQM,Bandolero,Jamaika,dk
18297,48,17211,2020-01-01,https://open.spotify.com/track/3FM5HjjI51dcocz1oZ8GAe,Wagwan,Benny Jamz,dk
18298,49,16579,2020-01-01,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,Adore You,Harry Styles,dk
18299,50,15961,2020-01-01,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,hot girl bummer,blackbear,dk
18300,1,77471,2020-01-02,https://open.spotify.com/track/0alp0O9d7KTtAF1QnBqqiv,PUB G (feat. Branco & Larry 44),LOLO,dk
18301,2,58030,2020-01-02,https://open.spotify.com/track/2xeiAqqHWYXQMWk6s2aQdw,Kærlighed (feat. Gilli & Kesi),ATYPISK,dk
18302,3,56269,2020-01-02,https://open.spotify.com/track/4vdIHpg2MlGO6WnHZE6oeW,Sektion (feat. Branco & Gilli),Benny Jamz,dk
18303,4,52681,2020-01-02,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,Blinding Lights,The Weeknd,dk
18304,5,52581,2020-01-02,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,Dance Monkey,Tones And I,dk
18305,6,51185,2020-01-02,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,Roses - Imanbek Remix,SAINt JHN,dk
18306,7,45649,2020-01-02,https://open.spotify.com/track/6q90mFphEXrrBfIXAbDLY3,Flytilstand,Benny Jamz,dk
18307,8,43098,2020-01-02,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,ROXANNE,Arizona Zervas,dk
18308,9,42671,2020-01-02,https://open.spotify.com/track/2He7ZIvNyBo188a6hvS0zT,Ben,Tessa,dk
18309,10,42656,2020-01-02,https://open.spotify.com/track/5TKuvTO4jj4trnmMnqEpoJ,London Town,"Branco, Gilli",dk
18310,11,42561,2020-01-02,https://open.spotify.com/track/3LdRxPZLIouyXVFrJVLwg8,Sjakalina,Tessa,dk
18311,12,40806,2020-01-02,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,Don't Start Now,Dua Lipa,dk
18312,13,40795,2020-01-02,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,everything i wanted,Billie Eilish,dk
18313,14,40250,2020-01-02,https://open.spotify.com/track/0qgqH6VqlkIXj45e5tTFCH,VERDEN VENDER,"Branco, Gilli",dk
18314,15,38843,2020-01-02,https://open.spotify.com/track/7iXrDMiAinSZpD1M6zyBKY,Fuck Af (feat. Milbo),Fie Laursen,dk
18315,16,37674,2020-01-02,https://open.spotify.com/track/4r2M86IJ1stGAI55PRRib0,Balou,Benny Jamz,dk
18316,17,35404,2020-01-02,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,dk
18317,18,35025,2020-01-02,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,Circles,Post Malone,dk
18318,19,34860,2020-01-02,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,Falling,Trevor Daniel,dk
18319,20,34192,2020-01-02,https://open.spotify.com/track/7IlYDWKUtjuQ1xPf6KAzWc,Shopping (feat. Kesi & Stepz),Benny Jamz,dk
18320,21,33513,2020-01-02,https://open.spotify.com/track/6aq0IJ1Ftp7PoJfPum2oMM,Lærte Hende Alt (feat. Lærke Emilie),ATYPISK,dk
18321,22,33413,2020-01-02,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,Ride It,Regard,dk
18322,23,33160,2020-01-02,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX,Ayy Macarena,Tyga,dk
18323,24,32527,2020-01-02,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Lewis Capaldi,dk
18324,25,30475,2020-01-02,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,Memories,Maroon 5,dk
