,Position,Track Name,Artist,Streams,URL,Date,Region
445239,11,Fake Love,Drake,1740,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,2017-01-02,lt
445240,12,All We Know,The Chainsmokers,1678,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,2017-01-02,lt
445241,13,All Night,The Vamps,1675,https://open.spotify.com/track/4b4KcovePX8Ke2cLIQTLM0,2017-01-02,lt
445242,14,Starving,Hailee Steinfeld,1620,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,2017-01-02,lt
445243,15,Hear Me Now,Alok,1612,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON,2017-01-02,lt
445244,16,Black Beatles,Rae Sremmurd,1590,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,2017-01-02,lt
445245,17,Now and Later,Sage The Gemini,1525,https://open.spotify.com/track/08WPvDEsHvTFuB9w8tC2OS,2017-01-02,lt
445246,18,In the Name of Love,Martin Garrix,1516,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,2017-01-02,lt
445247,19,One Dance,Drake,1512,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,2017-01-02,lt
445248,20,Bad Things (with Camila Cabello),Machine Gun Kelly,1512,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj,2017-01-02,lt
445249,21,Love Me Now,John Legend,1494,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89,2017-01-02,lt
445250,22,Tuesday,Burak Yeter,1462,https://open.spotify.com/track/7abpmGpF7PGep2rDU68GBR,2017-01-02,lt
445251,23,By Your Side,Jonas Blue,1403,https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j,2017-01-02,lt
445252,24,Sunset Lover,Petit Biscuit,1337,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1,2017-01-02,lt
445253,25,The Mack,Nevada,1335,https://open.spotify.com/track/7aV2mflaASUmGhCErm7kBO,2017-01-02,lt
445254,26,Shed a Light,Robin Schulz,1319,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY,2017-01-02,lt
445255,27,Chantaje,Shakira,1311,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,2017-01-02,lt
445256,28,Weak,AJR,1280,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv,2017-01-02,lt
445257,29,Mercy,Shawn Mendes,1277,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a,2017-01-02,lt
445258,30,I Would Like,Zara Larsson,1268,https://open.spotify.com/track/4Q4jmPHwu0wrJvqrld0FQ6,2017-01-02,lt
445259,31,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,1267,https://open.spotify.com/track/2wDjpPW3HZdA9quPPmZAMu,2017-01-02,lt
445260,32,Heathens,Twenty One Pilots,1257,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr,2017-01-02,lt
445261,33,My Way,Calvin Harris,1242,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm,2017-01-02,lt
445262,34,Alone,Alan Walker,1224,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,2017-01-02,lt
445263,35,Scars To Your Beautiful,Alessia Cara,1199,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK,2017-01-02,lt
